"SIGLA UF","CODIGO UF","CODIGO MUNICIPIO","MUNICIPIO","POPULACAO"
"AM","13","02553","Manaquiri","19,164"
"AM","13","02603","Manaus","1,646,602"
"AM","13","02702","Manicoré","44,327"
"AM","13","02801","Maraã","17,507"
"AM","13","02900","Maués","47,020"
"AM","13","03007","Nhamundá","17,553"
"AM","13","03106","Nova Olinda do Norte","29,184"
"AM","13","03205","Novo Airão","14,630"
"AM","13","03304","Novo Aripuanã","18,196"
"AM","13","03403","Parintins","102,044"
"AM","13","03502","Pauini","18,325"
"AM","13","03536","Presidente Figueiredo","24,360"
"AM","13","03569","Rio Preto da Eva","24,858"
"AM","13","03601","Santa Isabel do Rio Negro","16,921"
"AM","13","03700","Santo Antônio do Içá","29,249"
"AM","13","03809","São Gabriel da Cachoeira","39,130"
"AM","13","03908","São Paulo de Olivença","30,727"
"AM","13","03957","São Sebastião do Uatumã","8,731"
"AM","13","04005","Silves","8,211"
"AM","13","04062","Tabatinga","45,293"
"AM","13","04104","Tapauá","19,453"
"AM","13","04203","Tefé","62,920"
"AM","13","04237","Tonantins","19,090"
"AM","13","04260","Uarini","9,859"
"AM","13","04302","Urucará","15,716"
"AM","13","04401","Urucurituba","17,184"
"RR","14","00050","Alto Alegre","14,386"
"RR","14","00027","Amajari","7,586"
"RR","14","00100","Boa Vista","249,853"
"RR","14","00159","Bonfim","10,231"
"RR","14","00175","Cantá","11,119"
"RR","14","00209","Caracaraí","17,981"
"RR","14","00233","Caroebe","7,086"
"RR","14","00282","Iracema","5,863"
"RR","14","00308","Mucajaí","12,546"
"RR","14","00407","Normandia","7,118"
"RR","14","00456","Pacaraima","8,640"
"RR","14","00472","Rorainópolis","24,466"
"RR","14","00506","São João da Baliza","5,727"
"RR","14","00605","São Luiz","5,720"
"RR","14","00704","Uiramutã","7,403"
"PA","15","00107","Abaetetuba","132,222"
"PA","15","00131","Abel Figueiredo","6,592"
"PA","15","00206","Acará","47,923"
"PA","15","00305","Afuá","31,183"
"PA","15","00347","Água Azul do Norte","28,658"
"PA","15","00404","Alenquer","52,661"
"PA","15","00503","Almeirim","30,903"
"PA","15","00602","Altamira","92,105"
"PA","15","00701","Anajás","24,942"
"PA","15","00800","Ananindeua *","484,278"
"PA","15","00859","Anapu","17,787"
"PA","15","00909","Augusto Corrêa","37,086"
"PA","15","00958","Aurora do Pará","21,239"
"PA","15","01006","Aveiro","18,830"
"PA","15","01105","Bagre","18,580"
"PA","15","01204","Baião","26,190"
"PA","15","01253","Bannach","3,812"
"PA","15","01303","Barcarena","84,560"
"PA","15","01402","Belém *","1,408,847"
"PA","15","01451","Belterra","12,707"
"PA","15","01501","Benevides","43,282"
"PA","15","01576","Bom Jesus do Tocantins","13,145"
"PA","15","01600","Bonito","11,279"
"PA","15","01709","Bragança","101,728"
"PA","15","01725","Brasil Novo","18,749"
"PA","15","01758","Brejo Grande do Araguaia","7,444"
"PA","15","01782","Breu Branco","47,069"
"PA","15","01808","Breves","94,458"
"PA","15","01907","Bujaru","22,535"
"PA","15","02004","Cachoeira do Arari","18,995"
"PA","15","01956","Cachoeira do Piriá","17,649"
"PA","15","02103","Cametá","110,323"
"PA","15","02152","Canaã dos Carajás","23,757"
"PA","15","02202","Capanema","61,350"
"PA","15","02301","Capitão Poço","50,839"
"PA","15","02400","Castanhal","152,126"
"PA","15","02509","Chaves","19,368"
"PA","15","02608","Colares","10,981"
"PA","15","02707","Conceição do Araguaia","45,267"
"PA","15","02756","Concórdia do Pará","21,422"
"PA","15","02764","Cumaru do Norte","10,452"
"PA","15","02772","Curionópolis","17,769"
"PA","15","02806","Curralinho","25,388"
"PA","15","02855","Curuá","11,928"
"PA","15","02905","Curuçá","33,768"
"PA","15","02939","Dom Eliseu","38,150"
"PA","15","02954","Eldorado dos Carajás","28,554"
"PA","15","03002","Faro","17,253"
"PA","15","03044","Floresta do Araguaia","14,964"
"PA","15","03077","Garrafão do Norte","24,619"
"PA","15","03093","Goianésia do Pará","27,166"
"PA","15","03101","Gurupá","24,384"
"PA","15","03200","Igarapé-Açu","33,778"
"PA","15","03309","Igarapé-Miri","54,673"
"PA","15","03408","Inhangapi","9,592"
"PA","15","03457","Ipixuna do Pará","39,563"
"PA","15","03507","Irituia","29,746"
"PA","15","03606","Itaituba","118,194"
"PA","15","03705","Itupiranga","42,002"
"PA","15","03754","Jacareacanga","37,073"
"PA","15","03804","Jacundá","51,511"
"PA","15","03903","Juruti","33,775"
"PA","15","04000","Limoeiro do Ajuru","23,284"
"PA","15","04059","Mãe do Rio","27,614"
"PA","15","04109","Magalhães Barata","7,650"
"PA","15","04208","Marabá *","196,468"
"PA","15","04307","Maracanã","28,296"
"PA","15","04406","Marapanim","26,651"
"PA","15","04422","Marituba","93,416"
"PA","15","04455","Medicilândia","22,624"
"PA","15","04505","Melgaço","17,845"
"PA","15","04604","Mocajuba","23,258"
"PA","15","04703","Moju","63,821"
"PA","15","04802","Monte Alegre","61,350"
"PA","15","04901","Muaná","28,796"
"PA","15","04950","Nova Esperança do Piriá","22,447"
"PA","15","04976","Nova Ipixuna","14,086"
"PA","15","05007","Nova Timboteua","12,103"
"PA","15","05031","Novo Progresso","21,598"
"PA","15","05064","Novo Repartimento","51,645"
"PA","15","05106","Óbidos","46,793"
"PA","15","05205","Oeiras do Pará","25,420"
"PA","15","05304","Oriximiná","55,175"
"PA","15","05403","Ourém","15,152"
"PA","15","05437","Ourilândia do Norte","20,415"
"PA","15","05486","Pacajá","38,365"
"PA","15","05494","Palestina do Pará","7,156"
"PA","15","05502","Paragominas","90,819"
"PA","15","05536","Parauapebas","133,298"
"PA","15","05551","Pau D'Arco","6,466"
"PA","15","05601","Peixe-Boi","7,679"
"PA","15","05635","Piçarra","12,707"
"PA","15","05650","Placas","17,898"
"PA","15","05700","Ponta de Pedras","24,276"
"PA","15","05809","Portel","45,586"
"PA","15","05908","Porto de Moz","26,489"
"PA","15","06005","Prainha","26,436"
"PA","15","06104","Primavera","10,463"
"PA","15","06112","Quatipuru","12,620"
"PA","15","06138","Redenção","64,583"
"PA","15","06161","Rio Maria","16,993"
"PA","15","06187","Rondon do Pará","45,016"
"PA","15","06195","Rurópolis","32,950"
"PA","15","06203","Salinópolis","37,066"
"PA","15","06302","Salvaterra","17,077"
"PA","15","06351","Santa Bárbara do Pará","13,714"
"PA","15","06401","Santa Cruz do Arari","5,921"
"PA","15","06500","Santa Isabel do Pará","51,763"
"PA","15","06559","Santa Luzia do Pará","18,123"
"PA","15","06583","Santa Maria das Barreiras","16,012"
"PA","15","06609","Santa Maria do Pará","22,147"
"PA","15","06708","Santana do Araguaia","49,053"
"PA","15","06807","Santarém *","274,285"
"PA","15","06906","Santarém Novo","6,007"
"PA","15","07003","Santo Antônio do Tauá","24,814"
"PA","15","07102","São Caetano de Odivelas","16,179"
"PA","15","07151","São Domingos do Araguaia","21,094"
"PA","15","07201","São Domingos do Capim","27,094"
"PA","15","07300","São Félix do Xingu","59,238"
"PA","15","07409","São Francisco do Pará","11,913"
"PA","15","07458","São Geraldo do Araguaia","24,872"
"PA","15","07466","São João da Ponta","4,715"
"PA","15","07474","São João de Pirabas","18,919"
"PA","15","07508","São João do Araguaia","11,673"
"PA","15","07607","São Miguel do Guamá","42,987"
"PA","15","07706","São Sebastião da Boa Vista","20,500"
"PA","15","07755","Sapucaia","5,117"
"PA","15","07805","Senador José Porfírio","14,302"
"PA","15","07904","Soure","21,395"
"PA","15","07953","Tailândia","64,281"
"PA","15","07961","Terra Alta","9,861"
"PA","15","07979","Terra Santa","15,316"
"PA","15","08001","Tomé-Açu","47,081"
"PA","15","08035","Tracuateua","26,129"
"PA","15","08050","Trairão","16,097"
"PA","15","08084","Tucumã","26,513"
"PA","15","08100","Tucuruí","89,264"
"PA","15","08126","Ulianópolis","31,881"
"PA","15","08159","Uruará (por decisão judicial)**","59,881"
"PA","15","08209","Vigia","43,847"
"PA","15","08308","Viseu","53,217"
"PA","15","08357","Vitória do Xingu","9,693"
"PA","15","08407","Xinguara","38,457"
"AP","16","00105","Amapá","7,492"
"AP","16","00204","Calçoene","8,656"
"AP","16","00212","Cutias","4,320"
"AP","16","00238","Ferreira Gomes","5,040"
"AP","16","00253","Itaubal","3,439"
"AP","16","00279","Laranjal do Jari","37,491"
"AP","16","00303","Macapá","344,153"
"AP","16","00402","Mazagão","13,862"
"AP","16","00501","Oiapoque","19,181"
"AP","16","00154","Pedra Branca do Amapari","7,332"
"AP","16","00535","Porto Grande","13,962"
"AP","16","00550","Pracuúba","3,353"
"AP","16","00600","Santana","92,098"
"AP","16","00055","Serra do Navio","3,772"
"AP","16","00709","Tartarugalzinho","12,395"
"AP","16","00808","Vitória do Jari","10,765"
"TO","17","00251","Abreulândia","2,245"
"TO","17","00301","Aguiarnópolis","3,995"
"TO","17","00350","Aliança do Tocantins","5,701"
"TO","17","00400","Almas","7,488"
"TO","17","00707","Alvorada","7,976"
"TO","17","01002","Ananás","9,358"
"TO","17","01051","Angico","3,169"
"TO","17","01101","Aparecida do Rio Negro","4,018"
"TO","17","01309","Aragominas","5,469"
"TO","17","01903","Araguacema","5,423"
"TO","17","02000","Araguaçu","8,989"
"TO","17","02109","Araguaína","115,759"
"TO","17","02158","Araguanã","5,000"
"TO","17","02208","Araguatins","25,973"
"TO","17","02307","Arapoema","6,839"
"TO","17","02406","Arraias","10,626"
"TO","17","02554","Augustinópolis","14,800"
"TO","17","02703","Aurora do Tocantins","3,385"
"TO","17","02901","Axixá do Tocantins","8,917"
"TO","17","03008","Babaçulândia","10,372"
"TO","17","03057","Bandeirantes do Tocantins","2,711"
"TO","17","03073","Barra do Ouro","3,581"
"TO","17","03107","Barrolândia","5,155"
"TO","17","03206","Bernardo Sayão","4,518"
"TO","17","03305","Bom Jesus do Tocantins","2,710"
"TO","17","03602","Brasilândia do Tocantins","2,119"
"TO","17","03701","Brejinho de Nazaré","5,295"
"TO","17","03800","Buriti do Tocantins","8,164"
"TO","17","03826","Cachoeirinha","2,171"
"TO","17","03842","Campos Lindos","7,615"
"TO","17","03867","Cariri do Tocantins","3,562"
"TO","17","03883","Carmolândia","2,313"
"TO","17","03891","Carrasco Bonito","3,314"
"TO","17","03909","Caseara","4,667"
"TO","17","04105","Centenário","2,386"
"TO","17","05102","Chapada da Natividade","3,680"
"TO","17","04600","Chapada de Areia","1,239"
"TO","17","05508","Colinas do Tocantins","29,298"
"TO","17","16703","Colméia","8,759"
"TO","17","05557","Combinado","4,878"
"TO","17","05607","Conceição do Tocantins","4,402"
"TO","17","06001","Couto de Magalhães","4,887"
"TO","17","06100","Cristalândia","6,520"
"TO","17","06258","Crixás do Tocantins","1,264"
"TO","17","06506","Darcinópolis","5,130"
"TO","17","07009","Dianópolis","18,584"
"TO","17","07108","Divinópolis do Tocantins","6,359"
"TO","17","07207","Dois Irmãos do Tocantins","7,060"
"TO","17","07306","Dueré","4,489"
"TO","17","07405","Esperantina","8,134"
"TO","17","07553","Fátima","3,984"
"TO","17","07652","Figueirópolis","4,820"
"TO","17","07702","Filadélfia","7,787"
"TO","17","08205","Formoso do Araguaia","18,225"
"TO","17","08254","Fortaleza do Tabocão","2,101"
"TO","17","08304","Goianorte","5,221"
"TO","17","09005","Goiatins","11,639"
"TO","17","09302","Guaraí","21,669"
"TO","17","09500","Gurupi","71,413"
"TO","17","09807","Ipueiras","1,698"
"TO","17","10508","Itacajá","6,386"
"TO","17","10706","Itaguatins","6,074"
"TO","17","10904","Itapiratins","3,421"
"TO","17","11100","Itaporã do Tocantins","2,989"
"TO","17","11506","Jaú do Tocantins","3,789"
"TO","17","11803","Juarina","2,141"
"TO","17","11902","Lagoa da Confusão","8,220"
"TO","17","11951","Lagoa do Tocantins","3,179"
"TO","17","12009","Lajeado","2,159"
"TO","17","12157","Lavandeira","1,590"
"TO","17","12405","Lizarda","3,634"
"TO","17","12454","Luzinópolis","2,784"
"TO","17","12504","Marianópolis do Tocantins","4,473"
"TO","17","12702","Mateiros","1,737"
"TO","17","12801","Maurilândia do Tocantins","3,185"
"TO","17","13205","Miracema do Tocantins","19,683"
"TO","17","13304","Miranorte","11,858"
"TO","17","13601","Monte do Carmo","6,387"
"TO","17","13700","Monte Santo do Tocantins","1,858"
"TO","17","13957","Muricilândia","2,850"
"TO","17","14203","Natividade","9,090"
"TO","17","14302","Nazaré","4,528"
"TO","17","14880","Nova Olinda","10,518"
"TO","17","15002","Nova Rosalândia","3,772"
"TO","17","15101","Novo Acordo","3,754"
"TO","17","15150","Novo Alegre","1,801"
"TO","17","15259","Novo Jardim","2,419"
"TO","17","15507","Oliveira de Fátima","1,081"
"TO","17","21000","Palmas","178,386"
"TO","17","15705","Palmeirante","4,689"
"TO","17","13809","Palmeiras do Tocantins","4,542"
"TO","17","15754","Palmeirópolis","8,120"
"TO","17","16109","Paraíso do Tocantins","40,290"
"TO","17","16208","Paranã","10,491"
"TO","17","16307","Pau D'Arco","4,767"
"TO","17","16505","Pedro Afonso","10,294"
"TO","17","16604","Peixe","8,750"
"TO","17","16653","Pequizeiro","4,799"
"TO","17","17008","Pindorama do Tocantins","4,397"
"TO","17","17206","Piraquê","3,014"
"TO","17","17503","Pium","6,403"
"TO","17","17800","Ponte Alta do Bom Jesus","4,529"
"TO","17","17909","Ponte Alta do Tocantins","6,569"
"TO","17","18006","Porto Alegre do Tocantins","2,830"
"TO","17","18204","Porto Nacional","45,289"
"TO","17","18303","Praia Norte","7,060"
"TO","17","18402","Presidente Kennedy","3,680"
"TO","17","18451","Pugmil","2,165"
"TO","17","18501","Recursolândia","3,665"
"TO","17","18550","Riachinho","3,691"
"TO","17","18659","Rio da Conceição","1,454"
"TO","17","18709","Rio dos Bois","2,092"
"TO","17","18758","Rio Sono","6,167"
"TO","17","18808","Sampaio","3,672"
"TO","17","18840","Sandolândia","3,443"
"TO","17","18865","Santa Fé do Araguaia","5,610"
"TO","17","18881","Santa Maria do Tocantins","2,673"
"TO","17","18899","Santa Rita do Tocantins","2,260"
"TO","17","18907","Santa Rosa do Tocantins","4,417"
"TO","17","19004","Santa Tereza do Tocantins","2,297"
"TO","17","20002","Santa Terezinha do Tocantins","2,291"
"TO","17","20101","São Bento do Tocantins","4,447"
"TO","17","20150","São Félix do Tocantins","1,409"
"TO","17","20200","São Miguel do Tocantins","10,221"
"TO","17","20259","São Salvador do Tocantins","3,012"
"TO","17","20309","São Sebastião do Tocantins","4,244"
"TO","17","20499","São Valério da Natividade","4,885"
"TO","17","20655","Silvanópolis","5,098"
"TO","17","20804","Sítio Novo do Tocantins","9,302"
"TO","17","20853","Sucupira","1,667"
"TO","17","20903","Taguatinga","14,110"
"TO","17","20937","Taipas do Tocantins","1,916"
"TO","17","20978","Talismã","2,555"
"TO","17","21109","Tocantínia","6,663"
"TO","17","21208","Tocantinópolis","21,334"
"TO","17","21257","Tupirama","1,405"
"TO","17","21307","Tupiratins","2,007"
"TO","17","22081","Wanderlândia","9,317"
"TO","17","22107","Xambioá","10,856"
"MA","21","00055","Açailândia","97,034"
"MA","21","00105","Afonso Cunha","5,651"
"MA","21","00154","Água Doce do Maranhão","11,829"
"MA","21","00204","Alcântara","21,349"
"MA","21","00303","Aldeias Altas","21,645"
"MA","21","00402","Altamira do Maranhão","7,365"
"MA","21","00436","Alto Alegre do Maranhão","22,002"
"MA","21","00477","Alto Alegre do Pindaré","31,992"
"MA","21","00501","Alto Parnaíba","10,304"
"MA","21","00550","Amapá do Maranhão","6,168"
"MA","21","00600","Amarante do Maranhão","35,727"
"MA","21","00709","Anajatuba","23,941"
"MA","21","00808","Anapurus","12,580"
"MA","21","00832","Apicum-Açu","13,216"
"MA","21","00873","Araguanã","9,918"
"MA","21","00907","Araioses","37,655"
"MA","21","00956","Arame","27,229"
"MA","21","01004","Arari","27,753"
"MA","21","01103","Axixá","14,249"
"MA","21","01202","Bacabal","95,124"
"MA","21","01251","Bacabeira","14,611"
"MA","21","01301","Bacuri","16,026"
"MA","21","01350","Bacurituba","5,425"
"MA","21","01400","Balsas","78,845"
"MA","21","01509","Barão de Grajaú","16,565"
"MA","21","01608","Barra do Corda","78,718"
"MA","21","01707","Barreirinhas","47,850"
"MA","21","01772","Bela Vista do Maranhão","8,603"
"MA","21","01731","Belágua","5,717"
"MA","21","01806","Benedito Leite","5,387"
"MA","21","01905","Bequimão","20,735"
"MA","21","01939","Bernardo do Mearim","5,972"
"MA","21","01970","Boa Vista do Gurupi","7,385"
"MA","21","02002","Bom Jardim","37,659"
"MA","21","02036","Bom Jesus das Selvas","23,827"
"MA","21","02077","Bom Lugar","12,825"
"MA","21","02101","Brejo","31,049"
"MA","21","02150","Brejo de Areia","5,803"
"MA","21","02200","Buriti","25,274"
"MA","21","02309","Buriti Bravo","22,279"
"MA","21","02325","Buriticupu","61,480"
"MA","21","02358","Buritirana","12,596"
"MA","21","02374","Cachoeira Grande","8,831"
"MA","21","02408","Cajapió","9,982"
"MA","21","02507","Cajari","12,842"
"MA","21","02556","Campestre do Maranhão","12,246"
"MA","21","02606","Cândido Mendes","18,820"
"MA","21","02705","Cantanhede","18,827"
"MA","21","02754","Capinzal do Norte","10,385"
"MA","21","02804","Carolina","24,442"
"MA","21","02903","Carutapera","20,285"
"MA","21","03000","Caxias","143,197"
"MA","21","03109","Cedral","9,841"
"MA","21","03125","Central do Maranhão","8,776"
"MA","21","03158","Centro do Guilherme","7,094"
"MA","21","03174","Centro Novo do Maranhão","15,127"
"MA","21","03208","Chapadinha","67,649"
"MA","21","03257","Cidelândia","12,407"
"MA","21","03307","Codó","110,574"
"MA","21","03406","Coelho Neto","44,031"
"MA","21","03505","Colinas","35,692"
"MA","21","03554","Conceição do Lago-Açu","14,063"
"MA","21","03604","Coroatá","60,589"
"MA","21","03703","Cururupu","34,018"
"MA","21","03752","Davinópolis","11,786"
"MA","21","03802","Dom Pedro","21,479"
"MA","21","03901","Duque Bacelar","10,384"
"MA","21","04008","Esperantinópolis","18,569"
"MA","21","04057","Estreito","26,490"
"MA","21","04073","Feira Nova do Maranhão","7,648"
"MA","21","04081","Fernando Falcão","8,105"
"MA","21","04099","Formosa da Serra Negra","16,882"
"MA","21","04107","Fortaleza dos Nogueiras","11,578"
"MA","21","04206","Fortuna","14,486"
"MA","21","04305","Godofredo Viana","10,452"
"MA","21","04404","Gonçalves Dias","16,444"
"MA","21","04503","Governador Archer","9,920"
"MA","21","04552","Governador Edison Lobão","14,086"
"MA","21","04602","Governador Eugênio Barros","15,857"
"MA","21","04628","Governador Luiz Rocha","6,884"
"MA","21","04651","Governador Newton Bello","11,346"
"MA","21","04677","Governador Nunes Freire","24,012"
"MA","21","04701","Graça Aranha","6,254"
"MA","21","04800","Grajaú","54,135"
"MA","21","04909","Guimarães","12,387"
"MA","21","05005","Humberto de Campos","24,275"
"MA","21","05104","Icatu","24,432"
"MA","21","05153","Igarapé do Meio","11,697"
"MA","21","05203","Igarapé Grande","10,676"
"MA","21","05302","Imperatriz","229,671"
"MA","21","05351","Itaipava do Grajaú","13,197"
"MA","21","05401","Itapecuru Mirim","54,573"
"MA","21","05427","Itinga do Maranhão","25,100"
"MA","21","05450","Jatobá","8,255"
"MA","21","05476","Jenipapo dos Vieiras","14,815"
"MA","21","05500","João Lisboa","19,928"
"MA","21","05609","Joselândia","15,583"
"MA","21","05658","Junco do Maranhão","4,014"
"MA","21","05708","Lago da Pedra","42,666"
"MA","21","05807","Lago do Junco","9,616"
"MA","21","05948","Lago dos Rodrigues","7,780"
"MA","21","05906","Lago Verde","14,580"
"MA","21","05922","Lagoa do Mato","10,225"
"MA","21","05963","Lagoa Grande do Maranhão","9,015"
"MA","21","05989","Lajeado Novo","6,620"
"MA","21","06003","Lima Campos","11,365"
"MA","21","06102","Loreto","10,340"
"MA","21","06201","Luís Domingues","6,672"
"MA","21","06300","Magalhães de Almeida","14,217"
"MA","21","06326","Maracaçumé","17,537"
"MA","21","06359","Marajá do Sena","6,790"
"MA","21","06375","Maranhãozinho","11,887"
"MA","21","06409","Mata Roma","13,812"
"MA","21","06508","Matinha","20,422"
"MA","21","06607","Matões","28,278"
"MA","21","06631","Matões do Norte","10,576"
"MA","21","06672","Milagres do Maranhão","7,617"
"MA","21","06706","Mirador","19,445"
"MA","21","06755","Miranda do Norte","17,742"
"MA","21","06805","Mirinzal","13,786"
"MA","21","06904","Monção","27,558"
"MA","21","07001","Montes Altos","8,828"
"MA","21","07100","Morros","17,077"
"MA","21","07209","Nina Rodrigues","10,003"
"MA","21","07258","Nova Colinas","4,829"
"MA","21","07308","Nova Iorque","4,892"
"MA","21","07357","Nova Olinda do Maranhão","17,121"
"MA","21","07407","Olho d'Água das Cunhãs","17,361"
"MA","21","07456","Olinda Nova do Maranhão","12,068"
"MA","21","07506","Paço do Lumiar","98,175"
"MA","21","07605","Palmeirândia","18,105"
"MA","21","07704","Paraibano","19,453"
"MA","21","07803","Parnarama","34,912"
"MA","21","07902","Passagem Franca","17,085"
"MA","21","08009","Pastos Bons","17,507"
"MA","21","08058","Paulino Neves","12,799"
"MA","21","08108","Paulo Ramos","16,129"
"MA","21","08207","Pedreiras","37,984"
"MA","21","08256","Pedro do Rosário","21,714"
"MA","21","08306","Penalva","33,473"
"MA","21","08405","Peri Mirim","12,219"
"MA","21","08454","Peritoró","19,017"
"MA","21","08504","Pindaré-Mirim","30,927"
"MA","21","08603","Pinheiro","74,123"
"MA","21","08702","Pio XII","21,821"
"MA","21","08801","Pirapemas","15,043"
"MA","21","08900","Poção de Pedras","15,853"
"MA","21","09007","Porto Franco","18,692"
"MA","21","09056","Porto Rico do Maranhão","6,900"
"MA","21","09106","Presidente Dutra","40,004"
"MA","21","09205","Presidente Juscelino","11,705"
"MA","21","09239","Presidente Médici","6,058"
"MA","21","09270","Presidente Sarney","15,606"
"MA","21","09304","Presidente Vargas","9,798"
"MA","21","09403","Primeira Cruz","11,999"
"MA","21","09452","Raposa","24,201"
"MA","21","09502","Riachão","21,016"
"MA","21","09551","Ribamar Fiquene","7,170"
"MA","21","09601","Rosário","37,920"
"MA","21","09700","Sambaíba","5,792"
"MA","21","09759","Santa Filomena do Maranhão","5,526"
"MA","21","09809","Santa Helena","34,022"
"MA","21","09908","Santa Inês","82,026"
"MA","21","10005","Santa Luzia","69,306"
"MA","21","10039","Santa Luzia do Paruá","19,633"
"MA","21","10104","Santa Quitéria do Maranhão","28,341"
"MA","21","10203","Santa Rita","30,882"
"MA","21","10237","Santana do Maranhão","10,537"
"MA","21","10278","Santo Amaro do Maranhão","11,155"
"MA","21","10302","Santo Antônio dos Lopes","14,225"
"MA","21","10401","São Benedito do Rio Preto","17,191"
"MA","21","10500","São Bento","37,449"
"MA","21","10609","São Bernardo","25,480"
"MA","21","10658","São Domingos do Azeitão","6,953"
"MA","21","10708","São Domingos do Maranhão","32,557"
"MA","21","10807","São Félix de Balsas","4,398"
